@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
495,'2019/02/08 17:35:37:428',3,72.575653,138.885544,212.621155,220.092773,219.080643,227.22522,82.204788,134.419205,199.991623,220.74437,227.771866,237.224121,0.038948,0.043771,0.008117,0.049299,0.05069,0.024776,0.829999,132,0,0,0,349.228241,0.63,0.95,1
496,'2019/02/08 17:35:37:429',3,72.575653,138.885544,212.621155,220.092773,219.080643,227.22522,82.204788,134.419205,199.991623,220.74437,227.771866,237.224121,0.038948,0.043771,0.008117,0.049299,0.05069,0.024776,0.829999,132,0,0,0,349.228241,0.63,0.95,1
497,'2019/02/08 17:35:37:495',3,72.522598,144.229706,216.864456,224.926987,225.244476,230.6017,82.208267,135.72226,199.704681,220.235611,225.195297,237.94751,0.042115,0.043248,0.007211,0.048821,0.051109,0.02622,0.829999,132,0,0,0,349.228241,0.63,0.95,1
498,'2019/02/08 17:35:37:496',3,72.522598,144.229706,216.864456,224.926987,225.244476,230.6017,82.208267,135.72226,199.704681,220.235611,225.195297,237.94751,0.042115,0.043248,0.007211,0.048821,0.051109,0.02622,0.829999,132,0,0,0,349.228241,0.63,0.95,1
499,'2019/02/08 17:35:37:561',3,75.022469,140.672409,213.911469,223.864136,222.244247,231.234207,80.729568,132.520981,200.039383,219.782211,228.621078,237.712372,0.038912,0.04353,0.00907,0.050002,0.050249,0.026812,0.829999,132,0,0,0,349.228241,0.63,0.95,1
500,'2019/02/08 17:35:37:561',3,75.022469,140.672409,213.911469,223.864136,222.244247,231.234207,80.729568,132.520981,200.039383,219.782211,228.621078,237.712372,0.038912,0.04353,0.00907,0.050002,0.050249,0.026812,0.829999,132,0,0,0,349.228241,0.63,0.95,1
501,'2019/02/08 17:35:37:623',3,75.545662,140.964264,214.235718,223.557037,225.085403,231.015198,80.779022,132.870636,200.027695,219.631195,222.107758,238.570297,0.038674,0.043613,0.009002,0.049853,0.050338,0.02599,0.829999,132,0,0,0,349.228241,0.63,0.95,1
502,'2019/02/08 17:35:37:623',3,75.545662,140.964264,214.235718,223.557037,225.085403,231.015198,80.779022,132.870636,200.027695,219.631195,222.107758,238.570297,0.038674,0.043613,0.009002,0.049853,0.050338,0.02599,0.829999,132,0,0,0,349.228241,0.63,0.95,1
503,'2019/02/08 17:35:37:686',3,75.435196,138.209,197.235428,209.165848,202.764084,226.340668,81.515678,133.994675,200.806168,220.076721,224.913971,237.123337,0.037043,0.034418,0.016443,0.049672,0.050611,0.025527,0.829999,132,0,0,0,349.228241,0.63,0.95,1
504,'2019/02/08 17:35:37:686',3,75.435196,138.209,197.235428,209.165848,202.764084,226.340668,81.515678,133.994675,200.806168,220.076721,224.913971,237.123337,0.037043,0.034418,0.016443,0.049672,0.050611,0.025527,0.829999,132,0,0,0,349.228241,0.63,0.95,1
505,'2019/02/08 17:35:37:752',3,78.252655,139.403458,214.401505,223.166412,223.913345,232.359406,80.727341,134.388565,201.103561,220.245651,227.358582,237.387924,0.036092,0.04411,0.009648,0.049448,0.050627,0.025433,0.829999,132,0,0,0,349.228241,0.63,0.95,1
506,'2019/02/08 17:35:37:752',3,78.252655,139.403458,214.401505,223.166412,223.913345,232.359406,80.727341,134.388565,201.103561,220.245651,227.358582,237.387924,0.036092,0.04411,0.009648,0.049448,0.050627,0.025433,0.829999,132,0,0,0,349.228241,0.63,0.95,1
507,'2019/02/08 17:35:37:814',3,81.511215,148.848434,203.954926,211.727631,202.116638,227.158691,67.830254,119.611214,187.519516,217.296127,219.746582,236.818665,0.041007,0.033408,0.012515,0.049286,0.05093,0.035108,0.829999,132,0,0,0,349.228241,0.63,0.95,1
508,'2019/02/08 17:35:37:815',3,81.511215,148.848434,203.954926,211.727631,202.116638,227.158691,67.830254,119.611214,187.519516,217.296127,219.746582,236.818665,0.041007,0.033408,0.012515,0.049286,0.05093,0.035108,0.829999,132,0,0,0,349.228241,0.63,0.95,1
509,'2019/02/08 17:35:37:880',3,81.120804,131.49968,196.823349,208.608978,198.62558,222.30101,68.845985,123.921455,184.108826,209.682114,210.510742,226.913589,0.032067,0.039347,0.012989,0.037354,0.044228,0.03077,0.829999,132,0,0,0,349.228241,0.63,0.95,1
510,'2019/02/08 17:35:37:880',3,81.120804,131.49968,196.823349,208.608978,198.62558,222.30101,68.845985,123.921455,184.108826,209.682114,210.510742,226.913589,0.032067,0.039347,0.012989,0.037354,0.044228,0.03077,0.829999,132,0,0,0,349.228241,0.63,0.95,1
511,'2019/02/08 17:35:37:944',3,83.957367,134.259689,199.823517,211.912811,201.651337,228.589584,68.761391,126.058998,194.93927,215.420959,227.855453,232.056671,0.032093,0.039345,0.014752,0.043986,0.050667,0.02728,0.829999,132,0,0,0,349.228241,0.63,0.95,1
512,'2019/02/08 17:35:37:945',3,83.957367,134.259689,199.823517,211.912811,201.651337,228.589584,68.761391,126.058998,194.93927,215.420959,227.855453,232.056671,0.032093,0.039345,0.014752,0.043986,0.050667,0.02728,0.829999,132,0,0,0,349.228241,0.63,0.95,1
513,'2019/02/08 17:35:38:012',3,83.043678,133.253799,200.069016,211.505539,209.443726,228.675964,68.08358,126.345963,194.443161,213.61525,220.771317,230.666382,0.031603,0.039916,0.014603,0.049184,0.05039,0.026475,0.829999,132,0,0,0,349.228241,0.63,0.95,1
514,'2019/02/08 17:35:38:012',3,83.043678,133.253799,200.069016,211.505539,209.443726,228.675964,68.08358,126.345963,194.443161,213.61525,220.771317,230.666382,0.031603,0.039916,0.014603,0.049184,0.05039,0.026475,0.829999,132,0,0,0,349.228241,0.63,0.95,1
515,'2019/02/08 17:35:38:079',3,84.032364,133.759125,200.340683,210.631805,203.789063,223.36998,66.294769,124.368721,193.756775,217.15802,222.115463,233.081299,0.031549,0.039794,0.011684,0.049312,0.050404,0.028705,0.829999,132,0,0,0,349.228241,0.63,0.95,1
