@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
144,'2019/02/24 18:19:01:597',1,184.199997,138.100006,0,0.5,-8,0,0,0,1
145,'2019/02/24 18:19:01:648',1,181.600006,135.600006,0.5,0,8,0,0,0,1
146,'2019/02/24 18:19:01:699',1,182.100006,136.199997,0,0,8,0,0,0,1
147,'2019/02/24 18:19:01:751',1,182.899994,136.800003,0.5,1.2,-5,0,0,0,1
148,'2019/02/24 18:19:01:801',1,178.800003,137.399994,0.5,0,4,0,0,0,1
149,'2019/02/24 18:19:01:852',1,179.199997,137.399994,0,0.5,4,0,0,0,1
150,'2019/02/24 18:19:01:904',1,174.899994,135.399994,0,0,7,0,0,0,1
151,'2019/02/24 18:19:01:955',1,177.600006,136.100006,0,0.5,-10,0,0,0,1
152,'2019/02/24 18:19:02:007',1,187.899994,138.699997,1,0,-1,0,0,0,1
153,'2019/02/24 18:19:02:059',1,193.600006,138.300003,0,0.6,-2,0,0,0,1
154,'2019/02/24 18:19:02:110',1,192.300003,135.600006,0.5,0.4,2,0,0,0,1
155,'2019/02/24 18:19:02:161',1,190.699997,133.300003,0.5,0,11,0,0,0,1
156,'2019/02/24 18:19:02:212',1,191.5,132.399994,0.9,1,5,0,0,0,1
157,'2019/02/24 18:19:02:264',1,191.100006,133.800003,0.5,1.2,-5,0,0,0,1
158,'2019/02/24 18:19:02:315',1,190,131.199997,0,0,0,0,0,0,1
159,'2019/02/24 18:19:02:366',1,197.800003,134.800003,0,0,14,0,0,0,1
160,'2019/02/24 18:19:02:416',1,209.899994,133.399994,0,0.4,-7,0,0,0,1
161,'2019/02/24 18:19:02:467',1,203.699997,133.600006,0,0.1,2,0,0,0,1
162,'2019/02/24 18:19:02:517',1,198.199997,131.300003,0.4,1.5,0,0,0,0,1
163,'2019/02/24 18:19:02:568',1,195.399994,137.399994,0.5,1.2,-4,0,0,0,1
164,'2019/02/24 18:19:02:619',1,182.399994,135,0,0.5,4,0,0,0,1
165,'2019/02/24 18:19:02:671',1,179.699997,135.100006,0,0.5,1,0,0,0,1
166,'2019/02/24 18:19:02:722',1,179.100006,137,0.4,0.5,-1,0,0,0,1
167,'2019/02/24 18:19:02:774',1,184.199997,138.600006,1.5,0.8,2,0,0,0,1
168,'2019/02/24 18:19:02:825',1,184.100006,138,0,1,-1,0,0,0,1
169,'2019/02/24 18:19:02:876',1,182.100006,134.199997,0.5,0.6,9,0,0,0,1
170,'2019/02/24 18:19:02:928',1,187.899994,132.399994,0.3,0,4,0,0,0,1
171,'2019/02/24 18:19:02:978',1,188.100006,131.600006,0.5,0,3,0,0,0,1
172,'2019/02/24 18:19:03:030',1,190.199997,133.600006,0.2,0,5,0,0,0,1
173,'2019/02/24 18:19:03:081',1,187.300003,133.5,1.5,0,5,0,0,0,1
174,'2019/02/24 18:19:03:132',1,185.600006,132.199997,0.5,0,-2,0,0,0,1
175,'2019/02/24 18:19:03:182',1,184,131,0.5,0.6,1,0,0,0,1
176,'2019/02/24 18:19:03:234',1,183.699997,134.699997,0.5,0,9,0,0,0,1
177,'2019/02/24 18:19:03:284',1,186.399994,134,0,0,-7,0,0,0,1
178,'2019/02/24 18:19:03:335',1,180.800003,134.399994,0,0,-2,0,0,0,1
179,'2019/02/24 18:19:03:385',1,185.600006,136,0,0.2,-4,0,0,0,1
180,'2019/02/24 18:19:03:436',1,178.899994,133.899994,0,0.5,-5,0,0,0,1
181,'2019/02/24 18:19:03:486',1,174.600006,135.199997,0.4,0.5,0,0,0,0,1
182,'2019/02/24 18:19:03:539',1,177.600006,135.5,0.6,0.5,-4,0,0,0,1
183,'2019/02/24 18:19:03:590',1,177,135.600006,0,0,11,0,0,0,1
184,'2019/02/24 18:19:03:642',1,181.300003,137.199997,1,1.2,-4,0,0,0,1
185,'2019/02/24 18:19:03:693',1,180,131.800003,1,0.8,3,0,0,0,1
186,'2019/02/24 18:19:03:745',1,191.100006,136.800003,0.5,0.4,-1,0,0,0,1
187,'2019/02/24 18:19:03:796',1,195.399994,138.399994,0.5,0.6,-6,0,0,0,1
188,'2019/02/24 18:19:03:846',1,187.199997,132.800003,0,0,4,0,0,0,1
189,'2019/02/24 18:19:03:896',1,186.199997,136.399994,0.1,0.5,4,0,0,0,1
190,'2019/02/24 18:19:03:947',1,184.899994,135.5,0.5,0,-5,0,0,0,1
191,'2019/02/24 18:19:03:998',1,185.699997,135.399994,0.5,0.4,-6,0,0,0,1
192,'2019/02/24 18:19:04:049',1,185.800003,136.800003,1,1.2,-5,0,0,0,1
193,'2019/02/24 18:19:04:100',1,186.399994,137,0.2,0,-1,0,0,0,1
194,'2019/02/24 18:19:48:488',2,432.399994,132,0,0,-7,0,0,0,2
195,'2019/02/24 18:19:48:539',2,437.399994,131.399994,0,0.9,4,0,0,0,2
196,'2019/02/24 18:19:48:591',2,356.200012,130.399994,0,0.1,-3,0,0,0,2
197,'2019/02/24 18:19:48:643',2,379.700012,129.600006,0,0.1,22,0,0,0,2
198,'2019/02/24 18:19:48:693',2,380.5,130.800003,0,0.5,-45,0,0,0,2
199,'2019/02/24 18:19:48:745',2,375.799988,130.399994,1,0.6,28,0,0,0,2
200,'2019/02/24 18:19:48:795',2,424.899994,131.399994,0,0.1,-11,0,0,0,2
201,'2019/02/24 18:19:48:846',2,353.399994,132.399994,1,0,28,0,0,0,2
202,'2019/02/24 18:19:48:897',2,348.100006,133.100006,0.5,0,17,0,0,0,2
203,'2019/02/24 18:19:48:948',2,415.299988,132.199997,0.5,0,-27,0,0,0,2
204,'2019/02/24 18:19:48:999',2,353.299988,130.300003,0.5,0,7,0,0,0,2
205,'2019/02/24 18:19:49:050',2,367.5,131.800003,0.5,1.6,-20,0,0,0,2
206,'2019/02/24 18:19:49:101',2,361.399994,130.5,0.4,0.1,-38,0,0,0,2
207,'2019/02/24 18:19:49:152',2,346.100006,129.600006,1.5,0.4,-4,0,0,0,2
208,'2019/02/24 18:19:49:203',2,367.100006,131.399994,0,0.1,56,0,0,0,2
209,'2019/02/24 18:19:49:254',2,374.799988,131.600006,0.5,0.6,-7,0,0,0,2
210,'2019/02/24 18:19:49:305',2,371.5,132,0,0,2,0,0,0,2
211,'2019/02/24 18:19:49:355',2,392.600006,129.800003,0,0,28,0,0,0,2
