@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric

@data
8700,'2019/04/09 19:08:38:826',11,132.800003,87.5,942.5,933,0.4,5.049,0,1,0,72.39,100,15
8701,'2019/04/09 19:08:38:826',11,132.199997,87,942.599976,933,0.3,5.049,0,1,0,72.39,100,15
8702,'2019/04/09 19:08:38:826',11,131.600006,86.5,942.700012,933,0.2,5.049,0,1,0,72.39,100,15
8703,'2019/04/09 19:08:38:826',11,130.5,86,942.799988,933,0.1,5.049,0,1,0,72.39,100,15
8704,'2019/04/09 19:08:38:841',11,129.600006,85.5,942.900024,933.099976,0,5.049,0,1,0,72.39,100,15
8705,'2019/04/09 19:08:38:841',11,128.699997,85,942.900024,933.200012,0,5.049,0,1,0,72.39,100,15
8706,'2019/04/09 19:08:38:841',11,127.800003,83.900002,942.799988,933.299988,0,5.049,0,1,0,72.39,100,15
8707,'2019/04/09 19:08:38:841',11,126.900002,82.800003,942.700012,933.400024,0,5.049,0,1,0,72.39,100,15
8708,'2019/04/09 19:08:38:841',11,126,81.699997,942.599976,933.5,0,5.049,0,1,0,72.39,100,15
8709,'2019/04/09 19:08:38:841',11,125.300003,80.599998,942.5,933.599976,0,5.049,0,1,0,72.39,100,15
8710,'2019/04/09 19:08:38:856',11,124.599998,80,942.400024,933.599976,0,5.049,0,1,0,72.39,100,15
8711,'2019/04/09 19:08:38:856',11,123.900002,79.400002,942.200012,933.599976,0,5.049,0,1,0,72.39,100,15
8712,'2019/04/09 19:08:38:856',11,123.199997,78.5,942,933.599976,0,5.049,0,1,0,72.39,100,15
8713,'2019/04/09 19:08:38:856',11,123,77.599998,941.799988,933.599976,0,5.049,0,1,0,72.39,100,15
8714,'2019/04/09 19:08:38:857',11,122.800003,76.699997,941.599976,933.5,0,5.049,0,1,0,72.39,100,15
8715,'2019/04/09 19:08:38:857',11,122.5,75.800003,941.5,933.400024,0,5.049,0,1,0,72.39,100,15
8716,'2019/04/09 19:08:38:873',11,122.199997,75.5,941.5,933.299988,0,5.049,0,1,0,72.39,100,15
8717,'2019/04/09 19:08:38:873',11,121.900002,75.099998,941.5,933.200012,0,5.049,0,1,0,72.39,100,15
