@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
2887,'2019/02/24 20:49:34:583',11,288.899994,420,0,0.2,-11,-5,0,-2,1
2888,'2019/02/24 20:49:34:634',11,290.399994,416,0.5,0,-4,-2,-1,0,1
2889,'2019/02/24 20:49:34:684',11,291.5,416.600006,0,0,-16,-3,0,0,1
2890,'2019/02/24 20:49:34:736',11,294,420.600006,0,1.7,-8,-1,0,-2,1
2891,'2019/02/24 20:49:34:787',11,291.899994,421.799988,0.5,1.6,-10,0,0,0,1
2892,'2019/02/24 20:49:34:839',11,293.5,421.799988,1,1.2,-6,-8,0,0,1
2893,'2019/02/24 20:49:34:890',11,295.100006,417.600006,1,0,-9,-4,-2,0,1
2894,'2019/02/24 20:49:34:942',11,294.5,418.600006,0,0.4,-16,-3,0,0,1
2895,'2019/02/24 20:49:34:992',11,295.799988,414.200012,0.1,1.5,-9,-2,-1,-3,1
2896,'2019/02/24 20:49:35:043',11,292.299988,419.600006,0.5,0.8,-9,0,-1,-2,1
2897,'2019/02/24 20:49:35:094',11,289.5,419.200012,1,1.8,-6,0,-2,0,1
2898,'2019/02/24 20:49:35:146',11,291.299988,422.5,0,1,-9,-5,0,-2,1
2899,'2019/02/24 20:49:35:197',11,295,422.299988,0,2,-9,-6,0,0,1
2900,'2019/02/24 20:49:35:249',11,293.700012,422.399994,0.5,0,-11,-2,-1,0,1
2901,'2019/02/24 20:49:35:299',11,296.399994,422.200012,0,1.8,-6,-1,0,0,1
2902,'2019/02/24 20:49:35:351',11,292.299988,421.399994,1,1.2,-6,0,-2,-3,1
2903,'2019/02/24 20:49:35:401',11,291.299988,417.200012,0.5,0,-11,-1,0,0,1
2904,'2019/02/24 20:49:35:452',11,292.299988,423.600006,1,2,-5,-2,0,-2,1
2905,'2019/02/24 20:49:35:503',11,297.5,423.700012,0.5,0,-6,-9,0,0,1
