@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric
@attribute giveme-7 numeric
@attribute giveme-8 numeric
@attribute giveme-9 numeric
@attribute giveme-10 numeric

@data
128,'2019/04/11 20:43:40:681',1,44.099998,364.799988,0,366.5,955.200012,0,?,?,?,?,?,?,?,?,?
129,'2019/04/11 20:43:40:697',1,43.200001,364,0,367.399994,955.5,0,?,?,?,?,?,?,?,?,?
130,'2019/04/11 20:43:40:698',1,42.299999,363.200012,0,367.899994,955.799988,0,?,?,?,?,?,?,?,?,?
131,'2019/04/11 20:43:40:698',1,41.400002,364.100006,0,368.399994,956.099976,0,?,?,?,?,?,?,?,?,?
132,'2019/04/11 20:43:40:698',1,41,365,0,368.899994,956.400024,0,?,?,?,?,?,?,?,?,?
133,'2019/04/11 20:43:40:698',1,40.599998,365.899994,0,369.399994,956.5,0,?,?,?,?,?,?,?,?,?
134,'2019/04/11 20:43:40:698',1,39.900002,366.799988,0,369,956.599976,0,?,?,?,?,?,?,?,?,?
135,'2019/04/11 20:43:40:698',1,39.200001,368.5,0,368.600006,957,0,?,?,?,?,?,?,?,?,?
136,'2019/04/11 20:43:40:698',1,38.5,370.200012,0,368.100006,957.400024,0,?,?,?,?,?,?,?,?,?
137,'2019/04/11 20:43:40:698',1,37.799999,374,0,367.600006,957.799988,0,?,?,?,?,?,?,?,?,?
138,'2019/04/11 20:43:40:698',1,37.5,377.799988,0,367.100006,958.200012,0,?,?,?,?,?,?,?,?,?
139,'2019/04/11 20:43:40:698',1,37.200001,381.600006,0,366.600006,958.5,0,?,?,?,?,?,?,?,?,?
140,'2019/04/11 20:43:40:698',1,36.799999,385.399994,0,366.5,958.799988,0,?,?,?,?,?,?,?,?,?
141,'2019/04/11 20:43:40:725',1,36.400002,387.5,0,366.399994,959.200012,0,?,?,?,?,?,?,?,?,?
142,'2019/04/11 20:43:40:726',1,36,389.600006,0,366.399994,959.599976,0,?,?,?,?,?,?,?,?,?
143,'2019/04/11 20:43:40:726',1,35.599998,390.299988,0,366.399994,960,0,?,?,?,?,?,?,?,?,?
144,'2019/04/11 20:43:40:726',1,35.5,391,0,366.399994,960.400024,0,?,?,?,?,?,?,?,?,?
145,'2019/04/11 20:43:40:726',1,35.400002,391.700012,0,366.399994,960.5,0,?,?,?,?,?,?,?,?,?
146,'2019/04/11 20:43:40:726',1,34.900002,392.399994,0,366.5,960.599976,0,?,?,?,?,?,?,?,?,?
147,'2019/04/11 20:43:40:740',1,34.400002,391,0,366.600006,960.799988,0,?,?,?,?,?,?,?,?,?
148,'2019/04/11 20:43:40:740',1,33.900002,389.600006,0,366.899994,961,0,?,?,?,?,?,?,?,?,?
149,'2019/04/11 20:43:40:741',1,33.400002,381.799988,0,367.200012,961.200012,0,?,?,?,?,?,?,?,?,?
150,'2019/04/11 20:43:40:741',1,33,374,0,367.5,961.400024,0,?,?,?,?,?,?,?,?,?
151,'2019/04/11 20:43:40:741',1,32.599998,366.200012,0,367.799988,961.5,0,?,?,?,?,?,?,?,?,?
152,'2019/04/11 20:43:40:741',1,32.099998,358.399994,0,368,961.599976,0,?,?,?,?,?,?,?,?,?
153,'2019/04/11 20:43:40:755',1,31.6,352,0,368.200012,961.799988,0,?,?,?,?,?,?,?,?,?
154,'2019/04/11 20:43:40:756',1,31.1,345.600006,0,368.299988,962,0,?,?,?,?,?,?,?,?,?
155,'2019/04/11 20:43:40:756',1,30.6,335.399994,0,368.399994,962.200012,0,?,?,?,?,?,?,?,?,?
156,'2019/04/11 20:43:40:756',1,30.5,325.200012,0,368.5,962.400024,0,?,?,?,?,?,?,?,?,?
157,'2019/04/11 20:43:40:756',1,30.4,315,0,368.600006,962.5,0,?,?,?,?,?,?,?,?,?
158,'2019/04/11 20:43:40:756',1,30,304.799988,0,368.5,962.599976,0,?,?,?,?,?,?,?,?,?
159,'2019/04/11 20:43:40:772',1,29.6,301,0,368.700012,962.700012,0,?,?,?,?,?,?,?,?,?
